IL-1b Change,IL-1a Change,1
IL-6 Change,IL-1b Change,1
MTS_ML_Vel_Pre,MTS_ML_Excursion_Pre,1
NS_ML_Vel_Pre,NS_ML_Excursion_Pre,1
TS_ML_Vel Change,TS_ML_Excursion Change,1
TS_AP_Vel_Pre,TS_AP_Excursion_Pre,1
TS_AP_Vel  Change,TS_AP_Excursion Change,1
Strd Length 2 (cm),Strd Length 1 (cm),1
NS_AP_Vel_Pre,NS_AP_Excursion_Pre,1
MTS_AP_Vel_Pre,MTS_AP_Excursion_Pre,1
MTS_ML_Vel Change,MTS_ML_Excursion Change,1
NS_AP_Vel Change,NS_AP_Excursion Change,1
NS_ML_Vel Change,NS_ML_Excursion Change,1
IL-1b Change,SF12 PrePhys,0.99551978
CLVT IR Change,CVLT Total Change,0.993985799
8ftUpMinPre (s),8ftUpAvPre,0.993126797
BMI Change,Weight Change (Kg),0.990150303
HandGripMaxPre,HandGripAvPre,0.989802887
IL-1b Change,NIH ProcSpd Change,0.982220185
DTMaxVelPre,DTAvVelPre,0.979424787
Comb_Move_Pre,R_Move_Pre,0.969987455
Comb_Move_Pre,L_Move_Pre,0.969641939
Comb_Step_Pre,R_Step_Pre,0.969600521
QuadMaxPre,QuadStrengthAvgPre,0.967705974
QuadStrengthMax Change,QuadStrengthAv Change,0.966344109
8ftUpMin Change,8ftUpAv Change,0.966050551
Comb_WS_Pre,L_WS_Pre,0.961973066
Comb_Step_Pre,L_Step_Pre,0.961487345
DTMaxVel Change,DTAvVel Change,0.957614667
Comb_WS_Pre,R_WS_Pre,0.956812077
MTS_AP_Range_Pre,MTS_AP_Dist_Pre,0.948504298
SSAvVel Change,SSAvLength Change,0.945227012
Distance2 (mi),MTS_ML_Range_Pre,0.943051288
TotalSteps1,Distance1 (mi),0.939612421
Comb_Move Change,R_Move Change,0.93218707
Comb_Step Change,R_Step Change,0.931421768
TS_ML_Range_Pre,TS_ML_Dist_Pre,0.928799261
L_Move_Pre,L_WS_Pre,0.928022771
MaxHip Change,MaxHip Abd Change,0.926875851
IL-1b Change,FGMaxVel Change,0.924963643
NS_AP_Vel_Pre,MTS_AP_Vel_Pre,0.923168887
NS_AP_Excursion_Pre,MTS_AP_Vel_Pre,0.923168879
NS_AP_Vel_Pre,MTS_AP_Excursion_Pre,0.923168877
NS_AP_Excursion_Pre,MTS_AP_Excursion_Pre,0.923168869
Comb_Move Change,L_Move Change,0.922679933
Comb_Move_Pre,Comb_WS_Pre,0.921092473
TNF-a Pre,IFNy Pre,0.920168984
TNF-a Change,IL-1b Change,0.919072849
Comb_WS Change,L_WS Change,0.918747059
NS_ML_Vel_Pre,MTS_AP_Range_Pre,0.917018348
NS_ML_Excursion_Pre,MTS_AP_Range_Pre,0.917018344
HandGripMax Change,HandGripAv Change,0.916987215
NS_AP_Range_Pre,NS_AP_Vel_Pre,0.91596196
NS_AP_Range_Pre,NS_AP_Excursion_Pre,0.915961945
TS_ML_Range Change,TS_ML_Dist Change,0.914301204
Comb_Step Change,L_Step Change,0.912584165
BMIPre,Weight (kg; H/2.205) Pre,0.909185224
MTS_AP_Range_Pre,MTS_AP_Vel_Pre,0.9091555
MTS_AP_Range_Pre,MTS_AP_Excursion_Pre,0.909155499
TotalSteps2,Distance2 (mi),0.908309574
TS_AP_Range_Pre,TS_AP_Excursion_Pre,0.90727268
TS_AP_Range_Pre,TS_AP_Vel_Pre,0.907272678
IL-1b Change,FGAvVel Change,0.906918019
IL-1a Change,DTAvLength Change,0.906634689
NS_ML_Range_Pre,NS_ML_Dist_Pre,0.9064888
IL-1b Change,IL-10 Change,0.906040933
R_Move_Pre,R_WS_Pre,0.902608337
NS_AP_Range_Pre,NS_ML_Excursion_Pre,0.90246672
NS_AP_Range_Pre,NS_ML_Vel_Pre,0.902466718
